subject,valence_accuracy,arousal_accuracy,overall_accuracy
1,97.0,97.5,96.5
2,83.25,81.25,72.0
3,95.5,96.0,92.0
4,82.0,81.0,74.75
5,81.5,83.0,72.25
6,92.25,91.75,86.25
7,100.0,99.75,99.75
8,91.25,93.5,87.75
9,74.25,75.75,64.25
10,84.25,84.25,76.5
11,84.25,79.75,71.5
12,96.75,98.5,96.5
13,92.25,97.25,91.25
14,90.25,88.5,82.75
15,89.75,91.25,85.25
16,97.25,95.5,94.75
17,73.25,75.5,60.5
18,90.75,90.0,85.0
19,77.0,78.75,64.0
20,90.75,93.0,86.25
21,90.25,93.0,85.25
22,84.25,84.0,75.75
23,92.0,91.5,86.5
24,84.5,94.75,83.0
25,91.5,96.0,89.25
26,66.25,61.5,37.75
27,98.75,99.75,98.5
